abrogato	abr.
aggiornamento	agg.
allegato	all.
appendice	app.
argomenta	arg.
articolo	art.
articoli	artt.
Atti parlamentari Atti	parl.
autore	a.
autore medesimo	ID.
autori medesimi	IDD.
autori	aa.
Bollettino ufficiale della regione sarda	B.U.Sar.
Bollettino ufficiale Trentino-Alto Adige	B.U.T.
Bürgerliches Gesetzbuch	BGB
capitolo	cap.
capoverso	cpv.
Carta costituzionale Carta	cost.
Carta dei diritti fondamentali dell'Unione Europea	Carta UE
Carta del lavoro	Carta lav.
circolare	circ.
citato	cit.
citati	citt.
codice canonico	c.can.	c. can.
codice civile	c.c.	c. c.
codice del consumo	c.cons.	c. cons.
codice della navigazione	c.nav.	c. nav.
codice delle obbligazioni	c.obbl.	c. obbl.
codice di commercio	c.comm.	c. comm.
codice di procedura civile	c.p.c.
codice di procedura penale	c.p.p.
codice penale	c.p.	c. p.
codice penale militare di pace	c.p.m.p.
codice penale militare di guerra	c.p.m.g.
codice postale	c.post.	c. post.
colonna	c.
colonne	cc.
combinato disposto	comb.disp.	comb. disp.
conforme	conf.
confronta	cfr.
contro	contra
Convenzione	Conv.
cosiddetto	c.d.	c. d.
cosiddetti	c.dd.	c. dd.
Costituzione	Cost.
decreto commissario per il territorio di Trieste	d.comm.Trieste	d. comm. Trieste
decreto del Presidente del Consiglio	d.P.C.
decreto del Presidente della Repubblica	d.P.R.
decreto del Presidente regionale Valle d'Aosta	d.P.A.
decreto governatoriale	d.g.
decreto interministeriale	d.interm.
decreto legge	d.l.	d. l.
decreto legislativo	d.lgs.	d. lgs.
decreto legislativo del Capo provvisorio dello Stato	d.lg.C.p.S.
decreto legislativo del Presidente della Repubblica	d.lg.P.R.
decreto legislativo luogotenenziale	d.lg.luog.
decreto ministeriale	d.m.
difforme	diff.
disposizioni di attuazione e transitorie	disp.att.	disp. att.
disposizioni preliminari	disp.prel.	disp. prel.
disposizioni regolamentari	disp.reg.	disp. reg.
disposizioni transitorie	disp.trans.	disp. trans.
esempio	es.
Execution ordnung	E.O.
Fogli annunzi legali	FAL
foglio	f.
fogli	ff.
Gazzetta Ufficiale della Regione siciliana	G.U.Si.
Gazzetta Ufficiale della Repubblica	G.U.
Handel Gesetzbuch	HGB
inedito	ined.
ivi	ivi
legge	l.
leggi	ll.
legge adozione	l.ad.	l. ad.
legge assegno	l.ass.	l. ass.
legge bancaria	l.banc.	l. banc.
legge cambiaria	l.camb.	l. camb.
legge comunale e provinciale	l.com.prov.	l. com. prov.
legge consolare	l.cons.	l. cons.
legge costituzionale	l.cost.	l. cost.
legge divorzio	l.div.	l. div.
legge fallimentare	l.fall.	l. fall.
legge federale	l.fed.	l. fed.
legge notarile	l.not.	l. not.
legge ospedaliera	l.osp.	l. osp.
legge provinciale	l.prov.	l. prov.
legge quadro	l.q.	l. q.
legge regionale	l.reg.	l. reg.
legge speciale	l.spec.	l. spec.
legge sul diritto d'autore	l.dir.aut.	l. dir. aut.
legge uniforme	l.unif.	l. unif.
Novella	Nov.
numero	n.
numeri	nn.
opera	o.
